,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
74110,pink floyd,paranoid eyes,1983,rock,button andon shield slip fresh grip bullet proof mask break disguise question hide hide hide paranoid eye brave face slip road fix grin casually lean laugh loud rest world boys crowd hide hide hide tell black play petrify eye unlucky believe stories fame lose haze alcohol soft middle turn high hide hide hide time gentleman mild eye,57,0.001461988,0.144329363,0.081225411,0.001461988,0.001461988,0.001461988,0.001461988,0.001461988,0.001461988,0.001461988,0.193121791,0.101066743,0.001461988,0.001461988,0.459788855,0.001461988,0.342575544,0.341794221,0.769076073,0.011032389,0.091096455,0.077648872,sadness,0.528571429
30205,roger miller,when two worlds collide,1991,country,world different couldn close try reach heavens weren happen worlds collide world things sweet good world wish hearts shamble cry happen worlds collide world,24,0.002923977,0.002923977,0.559749039,0.002923977,0.002923977,0.002923977,0.095464386,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.241512451,0.059414474,0.667497022,0.341896777,0.483935225,1.59E-05,0.521846661,0.124096769,world/life,0.414285714
62636,cafe jazz deluxe,enormous room of silver,2016,jazz,throat flesh bone yeah go look blood look blood know come till bring flood till bring flood march forward relentlessy take ferociously cause eye eye hold let overthrow throne yeah cover blow know away away away march forward relentlessy take feriociously cause eye eye hold let come gather come gather come gather come gather,54,0.186736003,0.243527378,0.001422475,0.001422475,0.064500869,0.001422475,0.092653306,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.39266779,0.001422475,0.690241525,0.342050611,0.980923676,0.948380567,0.665086562,0.087258781,sadness,0.057142857
59691,brad mehldau,ron's place,1997,jazz,sound come better look shoulder know nuff come bear pill ruffneck scout music crowd jump crowd hype explode erupt blend ragga metal punk hiphop unity sound killer groove nonstop strong survive strength power alive sound come better look shoulder know skindred area bring raucous know superior yeah know get shark alive get alive get shark alive get alive get shark alive come follow get shark alive get alive get shark alive get alive get shark alive get alive come flex ragga punk power watch head twist like scorpion buzz like force fist drop plenty want know think hard come sound come better look shoulder know skindred area bring raucous know superior yeah know get shark alive get alive get shark alive get alive get shark alive come follow get shark alive come follow follow follow follow get shark alive get alive get shark alive get alive get shark alive get alive get shark alive get alive get alive get alive get shark alive come follow get shark alive get alive body body get shark alive get alive get shark alive get alive bitch come alive get alive get shark alive,190,0.000378644,0.774200512,0.000378644,0.000378644,0.015564546,0.000378644,0.000378644,0.124479246,0.08007603,0.000378645,0.000378644,0.000378644,0.000378644,0.000378644,0.000378644,0.000378644,0.464962634,0.342127529,0.890562139,0.887651822,0.349752679,0.101073027,violence,0.328571429
54919,chet baker,it's always you,1956,jazz,early twilight watch break funny roam roses lately funny touch breeze caress stroll hear merely sigh near dare untrue funny time fall breeze caress stroll hear merely sigh near dare untrue funny time fall,34,0.002506266,0.002506266,0.002506266,0.085968464,0.002506266,0.002506266,0.17600883,0.14095966,0.002506266,0.357738843,0.002506266,0.002506266,0.002506266,0.002506266,0.204236483,0.002506266,0.473627207,0.342204446,0.926706754,5.33E-05,0.295136026,0.034103968,music,0.914285714
58278,wynton marsalis,blues,1985,jazz,tell go tell go tell go tell go tell go tell go tell go tell go tell go tell go tell go tell go,24,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.492894856,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.47131567,0.503953211,0.342486475,0.955823249,0.909919028,0.368301731,0.008437501,feelings,0.5
46146,ray charles,little hotel room,1984,blues,celebration mind sippin glass wine work telephone call come think line dead place like home lonesome little hotel room plaster ceiling fall picture hang crook wall music radio play moment think play song place like home lonesome little hotel room window fall wonder wouldn true wish place like home lonesome little hotel room,53,0.001144165,0.048217877,0.001144165,0.001144165,0.001144165,0.085642521,0.001144165,0.082345059,0.001144165,0.32042406,0.225945132,0.001144165,0.001144165,0.057607967,0.166087405,0.001144165,0.511534712,0.343691511,0.791164449,3.04E-05,0.255976917,0.06053122,music,0.514285714
54499,gerry mulligan,the nearness of you,1953,jazz,pale moon excite thrill delight nearness sweet conversation bring sensation nearness arm feel close wildest dream come true need soft light enchant right hold tight feel night nearness,28,0.002770084,0.002770083,0.002770083,0.07952796,0.002770084,0.002770083,0.535162444,0.002770083,0.002770083,0.002770083,0.002770083,0.243394182,0.002770083,0.002770083,0.002770083,0.100364165,0.324163327,0.344383765,0.991967863,0.978744939,0.204451772,0.027096742,romantic,0.957142857
32527,skip james,hard time killing floor blues,1998,country,hard time kill floor blue hard time time harder time harder people driftin door door care care hear singin lonesome song time long time long long long time long long killin floor roll world think money better sure cause time gonna drive door time gonna drive door time gonna drive door hard time,53,0.001074114,0.027488527,0.029849666,0.39892583,0.001074114,0.001074114,0.001074114,0.098541868,0.001074114,0.080628509,0.260445144,0.001074114,0.020818267,0.001074114,0.001074114,0.001074114,0.505036283,0.344460683,0.829317098,0.000369433,0.248763397,0.070241233,night/time,0.314285714
26979,don williams,years from now,1981,country,cochran cook years want years hold years hold tonight true friend true friend till life tonight know world live hard time keep flame die look eye future hold years want years love years tonight,34,0.001594896,0.001594896,0.543355076,0.123457755,0.001594896,0.001594896,0.19343625,0.001594896,0.001594896,0.001594896,0.001594896,0.052709776,0.001594896,0.001594896,0.001594896,0.001594896,0.540777645,0.344486322,0.792168466,0.000182186,0.118920033,0.077748975,world/life,0.557142857
5489,leonard cohen,i tried to leave you,1974,pop,try leave close book time morning years lose pride baby cry outside work right eye goodnight darling satisfy kind narrow arm open wide work smile,25,0.050149817,0.002192983,0.002192983,0.093484322,0.002192983,0.105357309,0.172508348,0.002192983,0.002192982,0.002192983,0.142756738,0.002192983,0.002192983,0.002192983,0.407234693,0.002192983,0.486624066,0.344614517,0.862449661,0.011234818,0.100370981,0.039409439,sadness,0.657142857
58579,leon redbone,"another story, another time, another place",1988,jazz,regret hard feel good time lifetime memories go wouldn moment spend leave hurt nothin time erase someday hurtin story time place sittin suddenly smile cross face ask funny tell story time place regret hard feel hurt lose race someday hurtin go leave story time place sittin suddenly smile cross face ask funny tell story time place,56,0.001031992,0.001031992,0.333617111,0.064309452,0.001031992,0.001031992,0.001031992,0.268248397,0.07803839,0.001031992,0.001031992,0.001031992,0.001031992,0.001031992,0.156781063,0.085589695,0.623091086,0.344717073,0.861445644,0.383603239,0.519785655,0.083054446,world/life,0.457142857
55505,bill evans,i'm gettin' sentimental over you,1962,jazz,twist strangle grip feel tendons tear mean twist strangle grip feel tendons tear mean blastmaster rack grind bend survival throttle hammer deadly scream gun gun blaze force overdrive draw anger talons poison dip impale heart pound fever pitch blood pump fury fisted dynamo eager strike cross cut thundercharge blade destruction flame throw hurricane destroy cage bone crush alien salvation wing heaven send wipe rage,64,0.00228833,0.637416458,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.123439916,0.00228833,0.00228833,0.127835142,0.07698354,0.562439077,0.345024742,0.998995983,0.950404858,0.208573784,0.091663323,violence,0.828571429
10299,cowboy junkies,sweet jane,1988,pop,heart wouldn turn break play wouldn turn hate sweet sweet sweet sweet wait wait come home wait corner think ways home sweet sweet sweet sweet dream play lonely split apart sweet sweet sweet sweet heavenly wine roses whisper smile heavenly wine roses whisper smile sweet sweet sweet,47,0.00122399,0.00122399,0.00122399,0.06983506,0.00122399,0.00122399,0.544338167,0.091372214,0.00122399,0.135728868,0.00122399,0.00122399,0.00122399,0.00122399,0.141589827,0.00122399,0.587349724,0.345255493,0.360441125,0.083906883,0.805234955,0.20417935,romantic,0.457142857
55181,bobby darin,where is the one,1959,jazz,search make change dream wake secret door life store journey long longer reckon throng know second bind journey long longer reckon throng know second bind,25,0.002631579,0.002631579,0.463949657,0.148928785,0.002631579,0.002631579,0.002631579,0.124300667,0.002631579,0.002631579,0.223347206,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.179031734,0.345665718,0.872489832,0.071862348,0.06770404,0.092864562,world/life,0.871428571
61537,eliane elias,falling in love with love,2009,jazz,fall easily fall fast fall terribly hard heart wellschooled cause fool past fall easily fall fast,16,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.794385459,0.004048583,0.441135059,0.346178499,0.807228722,0.955465587,0.518755153,0.261238189,sadness,0.157142857
62337,brian blade & the fellowship band,landmarks,2014,jazz,syria pull force lebanon have come intense international pressure assassination lebanese prime minister rafik hariri report implicate syrian prosyria lebanese officials kill damascus deny involvementthe government deal harshly domestic opposition tens thousands estimate kill suppression uprise muslim brotherhood hamafollowing death hafez alassad syria undergo brief period relaxation hundreds political prisoners release real political freedoms shakeup statedominated economy materialise shutdown numerous research agencies affect government shutdown october lawmakers fail agree spend plan government scientists stay home grantmaking cease national institute health national science foundation government research ship call port space delivery second commercial cargo vehicle international space station arrive september astronauts aboard space station robotic dock crewless cygnus craft orbital sciences dull company compete spacex hawthorne california provide nasa forprofit service cygnus launch september carry kilograms supply astronauts mean stay space station month load cargo disposal return earth burn reentry island island appear arabian september apparent result magnitude earthquake shake southcentral pakistan ecigarette control pressure intensify week food drug administration tough action electronic cigarettes state attorneys general call immediate regulatory oversight products ecigarettes prove controversial tobaccocontrol advocate,176,0.001503759,0.388802597,0.00150376,0.111752743,0.001503759,0.001503759,0.001503759,0.001503759,0.175919848,0.059855873,0.00150376,0.06166164,0.092889781,0.001503759,0.001503759,0.001503759,0.349073974,0.346204138,0.931726839,0.832995951,0.099340478,0.130102962,violence,0.085714286
70535,the kingston trio,gue gue,1959,rock,mighty funny sing best song hear learn song little baby cause little baby go milky fly earth hide corner fly away sing think song little crazy cause sing mighty funny sing best song hear learn song little baby cause little baby go,42,0.120861863,0.001253133,0.001253133,0.001253133,0.001253133,0.13185215,0.001253133,0.247760048,0.001253133,0.377295627,0.001253133,0.001253133,0.073202844,0.001253133,0.032736741,0.001253133,0.381566122,0.346511807,0.649598042,4.60E-06,0.479596043,0.322301157,music,0.871428571
